id_ville|id_temps|id_famille_produit|id-magasin|ventes_objectif|vente_reel|ca_objectif|ca_reel|marge_objectif|marge_reel
3|61|3|47|12.00000000|8.00000000|119.80000000|79.79999999|0.66000000|0.69999999
7|61|3|61|0.00000000|1.00000000|0.00000000|93.70000000|2.00999999|1.20000000
15|61|3|17|9.00000000|16.00000000|64.09999999|114.00000000|0.58999999|0.59999999
27|61|3|39|0.00000000|1.00000000|0.00000000|39.70000000|0.68999999|1.30000000
31|61|3|5|0.00000000|0.00000000|0.00000000|0.00000000|0.01000000|0.00000000
43|73|3|87|1.00000000||4.29999999||-0.91000000|
47|61|3|43|11.00000000|23.00000000|174.09999999|364.00000000|1.08000000|1.10000000
55|61|3|13|10.00000000|8.00000000|165.40000000|132.30000000|0.19000000|0.20000000
63|61|3|75|0.00000000|0.00000000|0.00000000|0.00000000|4.75000000|3.89999999
79|61|3|57|2.00000000|2.00000000|35.39999999|35.39999999|2.66000000|2.60000000
83|61|3|29|22.00000000|15.00000000|222.19999999|151.50000000|1.04000000|0.90000000
99|73|3|95|35.00000000||181.40000000||2.87000000|
111|61|3|69|5.00000000|4.00000000|235.90000000|188.69999999|0.76000000|0.69999999
143|73|3|91|44.00000000||225.50000000||-0.31000000|
151|61|3|71|0.00000000|1.00000000|0.00000000|56.10000000|1.52000000|1.00000000
171|61|3|25|2.00000000|1.00000000|11.60000000|5.79999999|1.78000000|2.29999999
243|61|3|11|0.00000000|0.00000000|0.00000000|0.00000000|0.41999999|0.20000000
295|73|3|93|16.00000000||147.90000000||1.20000000|
307|61|3|7|5.00000000|7.00000000|86.79999999|121.59999999|0.28999999|0.20000000
479|61|3|63|2.00000000|2.00000000|46.70000000|46.70000000|0.72999999|0.40000000
515|61|3|1|3.00000000|5.00000000|20.30000000|33.79999999|0.66000000|0.90000000
9|73|3|59|42.00000000||328.80000000||0.59999999|
13|61|3|81|12.00000000|9.00000000|373.60000000|280.19999999|2.39000000|2.39999999
17|73|3|41|39.00000000||363.89999999||-1.68999999|
21|61|3|85|0.00000000|1.00000000|0.00000000|39.20000000|0.55000000|0.59999999
29|73|3|33|35.00000000||93.00000000||0.00000000|
33|73|3|53|9.00000000||18.00000000||3.93000000|
45|73|3|3|47.00000000||218.80000000||2.00999999|
57|73|3|51|12.00000000||6.79999999||0.35999999|
73|73|3|55|3.00000000||10.10000000||3.71000000|
145|73|3|19|49.00000000||365.30000000||3.43999999|
161|61|3|89|4.00000000|4.00000000|118.20000000|118.20000000|0.78000000|1.10000000
197|73|3|15|27.00000000||228.40000000||2.79000000|
253|73|3|21|44.00000000||34.00000000||0.94999999|
301|61|3|83|16.00000000|21.00000000|286.60000000|376.10000000|2.29999999|1.20000000
309|73|3|9|5.00000000||21.19999999||-1.70000000|
329|73|3|49|39.00000000||149.50000000||0.71999999|
3|62|3|47|15.00000000|8.00000000|149.69999999|79.79999999|1.45000000|1.20000000
7|62|3|61|0.00000000|0.00000000|0.00000000|0.00000000|0.81999999|0.80000000
15|62|3|17|8.00000000|5.00000000|57.00000000|35.60000000|0.77000000|0.59999999
27|62|3|39|0.00000000|0.00000000|0.00000000|0.00000000|3.22000000|2.89999999
31|62|3|5|0.00000000|0.00000000|0.00000000|0.00000000|0.01000000|0.00000000
43|74|3|87|50.00000000||220.90000000||1.39999999|
47|62|3|43|10.00000000|20.00000000|158.30000000|316.50000000|1.15999999|1.00000000
55|62|3|13|11.00000000|6.00000000|181.90000000|99.20000000|0.34999999|0.29999999
63|62|3|75|0.00000000|0.00000000|0.00000000|0.00000000|2.46000000|2.20000000
79|62|3|57|3.00000000|4.00000000|53.10000000|70.79999999|1.68999999|1.30000000
83|62|3|29|25.00000000|30.00000000|252.50000000|303.00000000|0.98999999|0.90000000
99|74|3|95|50.00000000||73.59999999||1.65999999|
111|62|3|69|5.00000000|4.00000000|235.90000000|188.69999999|0.82999999|1.50000000
143|74|3|91|25.00000000||102.80000000||1.92999999|
151|62|3|71|0.00000000|1.00000000|0.00000000|56.10000000|0.63000000|1.00000000
171|62|3|25|2.00000000|2.00000000|11.60000000|11.60000000|2.77999999|3.29999999
243|62|3|11|0.00000000|1.00000000|0.00000000|11.10000000|0.40999999|0.29999999
295|74|3|93|19.00000000||0.69999999||0.00000000|
307|62|3|7|6.00000000|12.00000000|104.20000000|208.40000000|0.17999999|0.20000000
479|62|3|63|2.00000000|1.00000000|46.70000000|23.39999999|0.10000000|0.20000000
515|62|3|1|5.00000000|6.00000000|33.79999999|40.50000000|1.63999999|1.39999999
9|74|3|59|44.00000000||171.59999999||0.02999999|
13|62|3|81|12.00000000|15.00000000|373.60000000|467.00000000|0.95999999|1.10000000
17|74|3|41|18.00000000||9.09999999||-0.10000000|
21|62|3|85|0.00000000|1.00000000|0.00000000|39.20000000|0.23000000|0.40000000
29|74|3|33|39.00000000||331.89999999||-0.78000000|
33|74|3|53|44.00000000||5.09999999||-0.88000000|
45|74|3|3|14.00000000||26.39999999||4.80999999|
57|74|3|51|15.00000000||79.09999999||0.00000000|
